Haplogroup,Score_Africa,Score_Central_Asia,Score_Southeast_Asia
L2a2b1a,0.000000,0.000000,0.000000
L2a2b2,0.000000,0.000000,0.000000
L2a4a,0.000000,0.000000,0.000000
L2a5,0.000000,0.000000,0.000000
L2b1a,0.000000,0.000000,0.000000
L2b1a2,0.000000,0.000000,0.000000
L2b1a3,0.000000,0.000000,0.000000
L2b2,0.000000,0.000000,0.000000
L2b2a,0.000000,0.000000,0.000000
L2b3a,0.000000,0.000000,0.000000
L2c,0.000000,0.000000,0.000000
L2c1a,0.000000,0.000000,0.000000
L2c2a1,0.000000,0.000000,0.000000
L2c2b1b,0.000000,0.000000,0.000000
L2c3a,0.000000,0.000000,0.000000
L2c5,0.000000,0.000000,0.000000
L2d1a,0.000000,0.000000,0.000000
L2e1,0.000000,0.000000,0.000000
L3,1.000000,0.000000,0.000000
L3a+709,0.000000,0.000000,0.000000
L3a1,1.000000,0.000000,0.000000
L3a1b,0.000000,0.000000,0.000000
L3b1,1.000000,0.000000,0.000000
L3b1a,0.000000,0.000000,0.000000
L3b1a+@16124,0.000000,0.000000,0.000000
L3b1a10,0.000000,0.000000,0.000000
L3b1a11,0.000000,0.000000,0.000000
L3b1a1a,0.000000,0.000000,0.000000
L3b1a3,0.000000,0.000000,0.000000
L3b1a7,0.000000,0.000000,0.000000
L3b1a8,1.000000,0.000000,0.000000
L3b1b,0.000000,0.000000,0.000000
L3b2,0.000000,0.000000,0.000000
L3b2a,0.000000,0.000000,0.000000
L3b2b,0.000000,0.000000,0.000000
L3c,0.000000,0.000000,0.000000
L3c'd,1.000000,0.000000,0.000000
L3d1,1.000000,0.000000,0.000000
L3d1'2'3'4'5'6,0.000000,0.000000,0.000000
L3d1a,0.000000,0.000000,0.000000
L3d1a1a,0.000000,0.000000,0.000000
L3d1a1a1,0.000000,0.000000,0.000000
L3d1a1b,0.000000,0.000000,0.000000
L3d1a2,0.000000,0.000000,0.000000
L3d1b,0.000000,0.000000,0.000000
L3d1c1,0.000000,0.000000,0.000000
L3d1d,0.000000,0.000000,0.000000
L3d2b,0.000000,0.000000,0.000000
L3d3a1,0.000000,0.000000,0.000000
L3d3a1a,0.000000,0.000000,0.000000
L3d3b,0.000000,0.000000,0.000000
L3d4,0.000000,0.000000,0.000000
L3d5a,0.000000,0.000000,0.000000
L3e1,0.000000,0.000000,0.000000
L3e1a1a,0.000000,0.000000,0.000000
L3e1a3a,0.000000,0.000000,0.000000
L3e1b1,0.000000,0.000000,0.000000
L3e1b2,0.000000,0.000000,0.000000
L3e1c,0.000000,0.000000,0.000000
L3e1d1,0.000000,0.000000,0.000000
L3e1e,0.000000,0.000000,0.000000
L3e1e1,0.000000,0.000000,0.000000
L3e1f1,0.000000,0.000000,0.000000
L3e1g,0.000000,0.000000,0.000000
L3e2a,0.000000,0.000000,0.000000
L3e2a1b,0.000000,0.000000,0.000000
L3e2a1b1,0.000000,0.000000,0.000000
L3e2a1b2,0.000000,0.000000,0.000000
L3e2a2,0.000000,0.000000,0.000000
L3e2b,0.000000,0.000000,0.000000
L3e2b+152,0.000000,0.000000,0.000000
L3e2b1,0.000000,0.000000,0.000000
L3e2b1a2,0.000000,0.000000,0.000000
L3e2b3,0.000000,0.000000,0.000000
L3e2b7,0.000000,0.000000,0.000000
L3e3a,0.000000,0.000000,0.000000
L3e3b,0.000000,0.000000,0.000000
L3e3b1,0.000000,0.000000,0.000000
L3e3b2,0.000000,0.000000,0.000000
L3e4,0.000000,0.000000,0.000000
L3e4a1,0.000000,0.000000,0.000000
L3e5,0.000000,0.000000,0.000000
L3e5b,0.000000,0.000000,0.000000
L3e5d,0.000000,0.000000,0.000000
L3f,0.000000,0.000000,0.000000
L3f1b,1.000000,0.000000,0.000000
L3f1b+16292+150,1.000000,0.000000,0.000000
L3f1b1,0.000000,0.000000,0.000000
L3f1b1a,0.000000,0.000000,0.000000
L3f1b1a1,0.000000,0.000000,0.000000
L3f1b4a,0.000000,0.000000,0.000000
L3f1b4a1,0.000000,0.000000,0.000000
L3f1b4b,0.000000,0.000000,0.000000
L3f1b4c,0.000000,0.000000,0.000000
L3f2a1,0.000000,0.000000,0.000000
L3f3,0.000000,0.000000,0.000000
L3f3b,0.000000,0.000000,0.000000
L3h1,0.000000,0.000000,1.000000
L3h1a1,0.000000,0.000000,0.000000
L3h1a2,1.000000,0.000000,0.000000
