Haplogroup	Frequency_Southeast_Asia	Frequency_non_Southeast_Asia	Total_Southeast_Asia	Total_non_Southeast_Asia
M21b2	0.006768	0.000043	6649	46825
M22a	0.001053	0.000021	6649	46825
M22b	0.000150	0.000043	6649	46825
M23	0.000301	0.004741	6649	46825
M23'75	0.001354	0.000043	6649	46825
M24a	0.005264	0.000149	6649	46825
M24b	0.004512	0.000043	6649	46825
M26	0.000301	0.000043	6649	46825
M28	0.001504	0.000000	6649	46825
M29a	0.000150	0.000085	6649	46825
M2a1a	0.000150	0.000256	6649	46825
M2c	0.000301	0.000021	6649	46825
M30	0.000150	0.000256	6649	46825
M30c1	0.000150	0.000064	6649	46825
M30e	0.000150	0.000128	6649	46825
M31a	0.000150	0.000000	6649	46825
M31a2	0.000150	0.000043	6649	46825
M31b	0.000150	0.000000	6649	46825
M31b'c	0.000150	0.000000	6649	46825
M32'56	0.000150	0.000000	6649	46825
M32c	0.000150	0.003182	6649	46825
M33a1	0.000150	0.000000	6649	46825
M33a2'3	0.000451	0.000000	6649	46825
M33a3a	0.000602	0.000043	6649	46825
M33b	0.001203	0.000043	6649	46825
M33b1	0.001504	0.000299	6649	46825
M33c	0.000301	0.001281	6649	46825
M34a1	0.000150	0.000021	6649	46825
M34a1a	0.000150	0.000021	6649	46825
M34a2	0.000150	0.000043	6649	46825
M35a	0.000150	0.000043	6649	46825
M35b+16304	0.000150	0.000064	6649	46825
M35b1	0.000150	0.000128	6649	46825
M35b4	0.000301	0.000107	6649	46825
M36d	0.000150	0.000021	6649	46825
M37+152+151	0.000150	0.000128	6649	46825
M37e	0.000301	0.000021	6649	46825
M37e2	0.000150	0.000064	6649	46825
M38	0.000451	0.000021	6649	46825
M38a	0.000150	0.000043	6649	46825
M38b	0.000150	0.000128	6649	46825
M3a1+204	0.000451	0.000235	6649	46825
M3c	0.000150	0.000064	6649	46825
M3c+152	0.000150	0.000021	6649	46825
M3c1	0.000150	0.000000	6649	46825
M3d	0.001654	0.000149	6649	46825
M3d1a	0.001654	0.000021	6649	46825
M4'67	0.000150	0.000000	6649	46825
M4'67+16311	0.000301	0.000043	6649	46825
M40a1	0.000150	0.000107	6649	46825
M42b	0.000150	0.000000	6649	46825
M43+16311	0.000150	0.000000	6649	46825
M43a1	0.000451	0.000427	6649	46825
M44	0.000150	0.000021	6649	46825
M45	0.000451	0.000021	6649	46825
M45a	0.000451	0.000214	6649	46825
M46	0.000902	0.000000	6649	46825
M46a	0.001053	0.000043	6649	46825
M48	0.000902	0.000000	6649	46825
